ID|CITYID|GRADEID|PARENTID|CITYNAME|CITYCODE
79|240709|3|2407|瑞金|101240709
80|240710|3|2407|于都|101240710
81|240711|3|2407|会昌|101240711
82|240712|3|2407|安远|101240712
83|240713|3|2407|全南|101240713
84|240714|3|2407|龙南|101240714
85|240715|3|2407|定南|101240715
86|240716|3|2407|寻乌|101240716
87|240717|3|2407|兴国|101240717
88|240718|3|2407|赣县|101240718
89|2408|2|24|景德镇|
90|240801|3|2408|景德镇|101240801
91|240802|3|2408|乐平|101240802
92|240803|3|2408|浮梁|101240803
93|2409|2|24|萍乡|
94|240901|3|2409|萍乡|101240901
95|240902|3|2409|莲花|101240902
96|240903|3|2409|上栗|101240903
97|240904|3|2409|安源|101240904
98|240905|3|2409|芦溪|101240905
99|240906|3|2409|湘东|101240906
100|2410|2|24|新余|
101|241001|3|2410|新余|101241001
102|241002|3|2410|分宜|101241002
103|2411|2|24|鹰潭|
104|241101|3|2411|鹰潭|101241101
105|241102|3|2411|余江|101241102
106|241103|3|2411|贵溪|101241103
1|25|1|0|湖南|
2|2501|2|25|长沙|
3|250101|3|2501|长沙|101250101
4|250102|3|2501|宁乡|101250102
5|250103|3|2501|浏阳|101250103
6|250104|3|2501|马坡岭|101250104
7|250105|3|2501|望城|101250105
8|2502|2|25|湘潭|
9|250201|3|2502|湘潭|101250201
10|250202|3|2502|韶山|101250202
11|250203|3|2502|湘乡|101250203
12|2503|2|25|株洲|
13|250301|3|2503|株洲|101250301
14|250302|3|2503|攸县|101250302
15|250303|3|2503|醴陵|101250303
16|250304|3|2503|茶陵|101250305
17|250305|3|2503|炎陵|101250306
18|2504|2|25|衡阳|
19|250401|3|2504|衡阳|101250401
20|250402|3|2504|衡山|101250402
21|250403|3|2504|衡东|101250403
22|250404|3|2504|祁东|101250404
23|250405|3|2504|衡阳县|101250405
24|250406|3|2504|常宁|101250406
25|250407|3|2504|衡南|101250407
26|250408|3|2504|耒阳|101250408
27|250409|3|2504|南岳|101250409
28|2505|2|25|郴州|
29|250501|3|2505|郴州|101250501
30|250502|3|2505|桂阳|101250502
31|250503|3|2505|嘉禾|101250503
32|250504|3|2505|宜章|101250504
33|250505|3|2505|临武|101250505
34|250506|3|2505|资兴|101250507
35|250507|3|2505|汝城|101250508
36|250508|3|2505|安仁|101250509
37|250509|3|2505|永兴|101250510
38|250510|3|2505|桂东|101250511
39|250511|3|2505|苏仙|101250512
40|2506|2|25|常德|
41|250601|3|2506|常德|101250601
42|250602|3|2506|安乡|101250602
5|250603|3|2506|桃源|101250603
6|250604|3|2506|汉寿|101250604
7|250605|3|2506|澧县|101250605
8|250606|3|2506|临澧|101250606
9|250607|3|2506|石门|101250607
10|250608|3|2506|津市|101250608
11|2507|2|25|益阳|
3|250701|3|2507|益阳|101250700
4|250702|3|2507|赫山区|101250701
5|250703|3|2507|南县|101250702
6|250704|3|2507|桃江|101250703
7|250705|3|2507|安化|101250704
8|250706|3|2507|沅江|101250705
9|2508|2|25|娄底|
10|250801|3|2508|娄底|101250801
11|250802|3|2508|双峰|101250802
12|250803|3|2508|冷水江|101250803
13|250804|3|2508|新化|101250805
14|250805|3|2508|涟源|101250806
15|2509|2|25|邵阳|
16|250901|3|2509|邵阳|101250901
17|250902|3|2509|隆回|101250902
18|250903|3|2509|洞口|101250903
19|250904|3|2509|新邵|101250904
20|250905|3|2509|邵东|101250905
21|250906|3|2509|绥宁|101250906
22|250907|3|2509|新宁|101250907
23|250908|3|2509|武冈|101250908
24|250909|3|2509|城步|101250909
25|250910|3|2509|邵阳县|101250910
26|2510|2|25|岳阳|
27|251001|3|2510|岳阳|101251001
28|251002|3|2510|华容|101251002
29|251003|3|2510|湘阴|101251003
30|251004|3|2510|汨罗|101251004
31|251005|3|2510|平江|101251005
32|251006|3|2510|临湘|101251006
33|2511|2|25|张家界|
34|251101|3|2511|张家界|101251101
35|251102|3|2511|桑植|101251102
36|251103|3|2511|慈利|101251103
37|251104|3|2511|武陵源|101251104
38|2512|2|25|怀化|
39|251201|3|2512|怀化|101251201
40|251202|3|2512|沅陵|101251203
41|251203|3|2512|辰溪|101251204
42|251204|3|2512|靖州|101251205
43|251205|3|2512|会同|101251206
44|251206|3|2512|通道|101251207
45|251207|3|2512|麻阳|101251208
46|251208|3|2512|新晃|101251209
47|251209|3|2512|芷江|101251210
48|251210|3|2512|溆浦|101251211
49|251211|3|2512|中方|101251212
50|251212|3|2512|洪江|101251213
51|2513|2|25|永州|
52|251301|3|2513|永州|101251401
53|251302|3|2513|祁阳|101251402
54|251303|3|2513|东安|101251403
55|251304|3|2513|双牌|101251404
56|251305|3|2513|道县|101251405
57|251306|3|2513|宁远|101251406
58|251307|3|2513|江永|101251407
59|251308|3|2513|蓝山|101251408
60|251309|3|2513|新田|101251409
61|251310|3|2513|江华|101251410
62|251311|3|2513|冷水滩|101251411
63|2514|2|25|湘西|
64|251401|3|2514|吉首|101251501
65|251402|3|2514|保靖|101251502
66|251403|3|2514|永顺|101251503
67|251404|3|2514|古丈|101251504
68|251405|3|2514|凤凰|101251505
69|251406|3|2514|泸溪|101251506
70|251407|3|2514|龙山|101251507
71|251408|3|2514|花垣|101251508
1|26|1|0|贵州|
2|2601|2|26|贵阳|
3|260101|3|2601|贵阳|101260101
4|260102|3|2601|白云|101260102
5|260103|3|2601|花溪|101260103
6|260104|3|2601|乌当|101260104
7|260105|3|2601|息烽|101260105
8|260106|3|2601|开阳|101260106
9|260107|3|2601|修文|101260107
10|260108|3|2601|清镇|101260108
11|260109|3|2601|小河|101260109
12|260110|3|2601|云岩|101260110
13|260111|3|2601|南明|101260111
14|2602|2|26|遵义|
15|260201|3|2602|遵义|101260201
16|260202|3|2602|遵义县|101260202
17|260203|3|2602|仁怀|101260203
18|260204|3|2602|绥阳|101260204
19|260205|3|2602|湄潭|101260205
20|260206|3|2602|凤冈|101260206
21|260207|3|2602|桐梓|101260207
22|260208|3|2602|赤水|101260208
23|260209|3|2602|习水|101260209
24|260210|3|2602|道真|101260210
25|260211|3|2602|正安|101260211
26|260212|3|2602|务川|101260212
27|260213|3|2602|余庆|101260213
28|260214|3|2602|汇川|101260214
29|260215|3|2602|红花岗|101260215
30|2603|2|26|安顺|
31|260301|3|2603|安顺|101260301
32|260302|3|2603|普定|101260302
33|260303|3|2603|镇宁|101260303
34|260304|3|2603|平坝|101260304
35|260305|3|2603|紫云|101260305
36|260306|3|2603|关岭|101260306
37|2604|2|26|黔南|
38|260401|3|2604|都匀|101260401
39|260402|3|2604|贵定|101260402
40|260403|3|2604|瓮安|101260403
41|260404|3|2604|长顺|101260404
42|260405|3|2604|福泉|101260405
43|260406|3|2604|惠水|101260406
44|260407|3|2604|龙里|101260407
45|260408|3|2604|罗甸|101260408
46|260409|3|2604|平塘|101260409
47|260410|3|2604|独山|101260410
48|260411|3|2604|三都|101260411
49|260412|3|2604|荔波|101260412
50|2605|2|26|黔东南|
51|260501|3|2605|凯里|101260501
52|260502|3|2605|岑巩|101260502
53|260503|3|2605|施秉|101260503
54|260504|3|2605|镇远|101260504
55|260505|3|2605|黄平|101260505
56|260506|3|2605|麻江|101260507
57|260507|3|2605|丹寨|101260508
58|260508|3|2605|三穗|101260509
59|260509|3|2605|台江|101260510
60|260510|3|2605|剑河|101260511
61|260511|3|2605|雷山|101260512
62|260512|3|2605|黎平|101260513
63|260513|3|2605|天柱|101260514
64|260514|3|2605|锦屏|101260515
65|260515|3|2605|榕江|101260516
66|260516|3|2605|从江|101260517
67|2606|2|26|铜仁|
68|260601|3|2606|铜仁|101260601
69|260602|3|2606|江口|101260602
70|260603|3|2606|玉屏|101260603
71|260604|3|2606|万山|101260604
72|260605|3|2606|思南|101260605
73|260606|3|2606|印江|101260607
74|260607|3|2606|石阡|101260608
75|260608|3|2606|沿河|101260609
76|260609|3|2606|德江|101260610
77|260610|3|2606|松桃|101260611
78|2607|2|26|毕节|
79|260701|3|2607|毕节|101260701
80|260702|3|2607|赫章|101260702
81|260703|3|2607|金沙|101260703
82|260704|3|2607|威宁|101260704
83|260705|3|2607|大方|101260705
84|260706|3|2607|纳雍|101260706
85|260707|3|2607|织金|101260707
86|260708|3|2607|黔西|101260708
87|2608|2|26|六盘水|
88|260801|3|2608|水城|101260801
89|260802|3|2608|六枝|101260802
90|260803|3|2608|盘县|101260804
91|2609|2|26|黔西南|
92|260901|3|2609|兴义|101260901
93|260902|3|2609|晴隆|101260902
94|260903|3|2609|兴仁|101260903
95|260904|3|2609|贞丰|101260904
96|260905|3|2609|望谟|101260905
97|260906|3|2609|安龙|101260907
98|260907|3|2609|册亨|101260908
99|260908|3|2609|普安|101260909
1|27|1|0|四川|
2|2701|2|27|成都|
3|270101|3|2701|成都|101270101
4|270102|3|2701|龙泉驿|101270102
5|270103|3|2701|新都|101270103
6|270104|3|2701|温江|101270104
7|270105|3|2701|金堂|101270105
8|270106|3|2701|双流|101270106
9|270107|3|2701|郫县|101270107
10|270108|3|2701|大邑|101270108
11|270109|3|2701|蒲江|101270109
12|270110|3|2701|新津|101270110
13|270111|3|2701|都江堰|101270111
14|270112|3|2701|彭州|101270112
15|270113|3|2701|邛崃|101270113
16|270114|3|2701|崇州|101270114
17|2702|2|27|攀枝花|
18|270201|3|2702|攀枝花|101270201
19|270202|3|2702|仁和|101270202
20|270203|3|2702|米易|101270203
21|270204|3|2702|盐边|101270204
22|2703|2|27|自贡|
23|270301|3|2703|自贡|101270301
24|270302|3|2703|富顺|101270302
25|270303|3|2703|荣县|101270303
26|2704|2|27|绵阳|
27|270401|3|2704|绵阳|101270401
28|270402|3|2704|三台|101270402
29|270403|3|2704|盐亭|101270403
30|270404|3|2704|安县|101270404
31|270405|3|2704|梓潼|101270405
32|270406|3|2704|北川|101270406
33|270407|3|2704|平武|101270407
34|270408|3|2704|江油|101270408
35|2705|2|27|南充|
36|270501|3|2705|南充|101270501
37|270502|3|2705|南部|101270502
38|270503|3|2705|营山|101270503
39|270504|3|2705|蓬安|101270504
40|270505|3|2705|仪陇|101270505
41|270506|3|2705|西充|101270506
42|270507|3|2705|阆中|101270507
43|2706|2|27|达州|
44|270601|3|2706|达州|101270601
45|270602|3|2706|宣汉|101270602
46|270603|3|2706|开江|101270603
47|270604|3|2706|大竹|101270604
48|270605|3|2706|渠县|101270605
49|270606|3|2706|万源|101270606
50|270607|3|2706|通川|101270607
51|270608|3|2706|达县|101270608
52|2707|2|27|遂宁|
53|270701|3|2707|遂宁|101270701
54|270702|3|2707|蓬溪|101270702
55|270703|3|2707|射洪|101270703
56|2708|2|27|广安|
57|270801|3|2708|广安|101270801
58|270802|3|2708|岳池|101270802
59|270803|3|2708|武胜|101270803
60|270804|3|2708|邻水|101270804
61|270805|3|2708|华蓥|101270805
62|2709|2|27|巴中|
63|270901|3|2709|巴中|101270901
64|270902|3|2709|通江|101270902
65|270903|3|2709|南江|101270903
66|270904|3|2709|平昌|101270904
67|2710|2|27|泸州|
68|271001|3|2710|泸州|101271001
69|271002|3|2710|泸县|101271003
70|271003|3|2710|合江|101271004
71|271004|3|2710|叙永|101271005
72|271005|3|2710|古蔺|101271006
73|271006|3|2710|纳溪|101271007
74|2711|2|27|宜宾|
75|271101|3|2711|宜宾|101271101
76|271102|3|2711|宜宾县|101271103
77|271103|3|2711|南溪|101271104
78|271104|3|2711|江安|101271105
79|271105|3|2711|长宁|101271106
80|271106|3|2711|高县|101271107
81|271107|3|2711|珙县|101271108
82|271108|3|2711|筠连|101271109
83|271109|3|2711|兴文|101271110
84|271110|3|2711|屏山|101271111
85|2712|2|27|内江|
86|271201|3|2712|内江|101271201
87|271202|3|2712|东兴|101271202
88|271203|3|2712|威远|101271203
89|271204|3|2712|资中|101271204
90|271205|3|2712|隆昌|101271205
91|2713|2|27|资阳|
92|271301|3|2713|资阳|101271301
93|271302|3|2713|安岳|101271302
94|271303|3|2713|乐至|101271303
95|271304|3|2713|简阳|101271304
96|2714|2|27|乐山|
97|271401|3|2714|乐山|101271401
98|271402|3|2714|犍为|101271402
99|271403|3|2714|井研|101271403
100|271404|3|2714|夹江|101271404
101|271405|3|2714|沐川|101271405
102|271406|3|2714|峨边|101271406
103|271407|3|2714|马边|101271407
104|271408|3|2714|峨眉|101271408
105|271409|3|2714|峨眉山|101271409
106|2715|2|27|眉山|
107|271501|3|2715|眉山|101271501
108|271502|3|2715|仁寿|101271502
109|271503|3|2715|彭山|101271503
110|271504|3|2715|洪雅|101271504
111|271505|3|2715|丹棱|101271505
112|271506|3|2715|青神|101271506
113|2716|2|27|凉山|
114|271601|3|2716|凉山|101271601
115|271602|3|2716|木里|101271603
116|271603|3|2716|盐源|101271604
117|271604|3|2716|德昌|101271605
118|271605|3|2716|会理|101271606
119|271606|3|2716|会东|101271607
120|271607|3|2716|宁南|101271608
121|271608|3|2716|普格|101271609
122|271609|3|2716|西昌|101271610
123|271610|3|2716|金阳|101271611
124|271611|3|2716|昭觉|101271612
125|271612|3|2716|喜德|101271613
126|271613|3|2716|冕宁|101271614
127|271614|3|2716|越西|101271615
128|271615|3|2716|甘洛|101271616
129|271616|3|2716|雷波|101271617
130|271617|3|2716|美姑|101271618
131|271618|3|2716|布拖|101271619
132|2717|2|27|雅安|
133|271701|3|2717|雅安|101271701
134|271702|3|2717|名山|101271702
135|271703|3|2717|荥经|101271703
136|271704|3|2717|汉源|101271704
137|271705|3|2717|石棉|101271705
138|271706|3|2717|天全|101271706
139|271707|3|2717|芦山|101271707
140|271708|3|2717|宝兴|101271708
141|2718|2|27|甘孜|
142|271801|3|2718|甘孜|101271801
143|271802|3|2718|康定|101271802
144|271803|3|2718|泸定|101271803
145|271804|3|2718|丹巴|101271804
146|271805|3|2718|九龙|101271805
147|271806|3|2718|雅江|101271806
148|271807|3|2718|道孚|101271807
149|271808|3|2718|炉霍|101271808
150|271809|3|2718|新龙|101271809
151|271810|3|2718|德格|101271810
152|271811|3|2718|白玉|101271811
153|271812|3|2718|石渠|101271812
154|271813|3|2718|色达|101271813
155|271814|3|2718|理塘|101271814
156|271815|3|2718|巴塘|101271815
157|271816|3|2718|乡城|101271816
158|271817|3|2718|稻城|101271817
159|271818|3|2718|得荣|101271818
160|2719|2|27|阿坝|
161|271901|3|2719|阿坝|101271901
162|271902|3|2719|汶川|101271902
163|271903|3|2719|理县|101271903
164|271904|3|2719|茂县|101271904
165|271905|3|2719|松潘|101271905
166|271906|3|2719|九寨沟|101271906
167|271907|3|2719|金川|101271907
168|271908|3|2719|小金|101271908
169|271909|3|2719|黑水|101271909
170|271910|3|2719|马尔康|101271910
171|271911|3|2719|壤塘|101271911
172|271912|3|2719|若尔盖|101271912
173|271913|3|2719|红原|101271913
174|2720|2|27|德阳|
175|272001|3|2720|德阳|101272001
176|272002|3|2720|中江|101272002
177|272003|3|2720|广汉|101272003
178|272004|3|2720|什邡|101272004
179|272005|3|2720|绵竹|101272005
180|272006|3|2720|罗江|101272006
181|2721|2|27|广元|
182|272101|3|2721|广元|101272101
183|272102|3|2721|旺苍|101272102
184|272103|3|2721|青川|101272103
185|272104|3|2721|剑阁|101272104
186|272105|3|2721|苍溪|101272105
1|28|1|0|广东|
2|2801|2|28|广州|
3|280101|3|2801|广州|101280101
4|280102|3|2801|番禺|101280102
5|280103|3|2801|从化|101280103
6|280104|3|2801|增城|101280104
7|280105|3|2801|花都|101280105
8|2802|2|28|韶关|
9|280201|3|2802|韶关|101280201
10|280202|3|2802|乳源|101280202
11|280203|3|2802|始兴|101280203
12|280204|3|2802|翁源|101280204
13|280205|3|2802|乐昌|101280205
14|280206|3|2802|仁化|101280206
15|280207|3|2802|南雄|101280207
16|280208|3|2802|新丰|101280208
17|280209|3|2802|曲江|101280209
18|280210|3|2802|浈江|101280210
19|280211|3|2802|武江|101280211
20|2803|2|28|惠州|
21|280301|3|2803|惠州|101280301
22|280302|3|2803|博罗|101280302
23|280303|3|2803|惠阳|101280303
24|280304|3|2803|惠东|101280304
25|280305|3|2803|龙门|101280305
26|2804|2|28|梅州|
27|280401|3|2804|梅州|101280401
28|280402|3|2804|兴宁|101280402
29|280403|3|2804|蕉岭|101280403
30|280404|3|2804|大埔|101280404
31|280405|3|2804|丰顺|101280406
32|280406|3|2804|平远|101280407
33|280407|3|2804|五华|101280408
34|280408|3|2804|梅县|101280409
35|2805|2|28|汕头|
36|280501|3|2805|汕头|101280501
37|280502|3|2805|潮阳|101280502
38|280503|3|2805|澄海|101280503
39|280504|3|2805|南澳|101280504
40|2806|2|28|深圳|
41|280601|3|2806|深圳|101280601
42|2807|2|28|珠海|
43|280701|3|2807|珠海|101280701
44|280702|3|2807|斗门|101280702
45|280703|3|2807|金湾|101280703
46|2808|2|28|佛山|
47|280801|3|2808|佛山|101280800
48|280802|3|2808|顺德|101280801
49|280803|3|2808|三水|101280802
50|280804|3|2808|南海|101280803
51|280805|3|2808|高明|101280804
52|2809|2|28|肇庆|
53|280901|3|2809|肇庆|101280901
54|280902|3|2809|广宁|101280902
55|280903|3|2809|四会|101280903
56|280904|3|2809|德庆|101280905
57|280905|3|2809|怀集|101280906
58|280906|3|2809|封开|101280907
59|280907|3|2809|高要|101280908
60|2810|2|28|湛江|
61|281001|3|2810|湛江|101281001
62|281002|3|2810|吴川|101281002
63|281003|3|2810|雷州|101281003
64|281004|3|2810|徐闻|101281004
65|281005|3|2810|廉江|101281005
66|281006|3|2810|赤坎|101281006
67|281007|3|2810|遂溪|101281007
68|281008|3|2810|坡头|101281008
69|281009|3|2810|霞山|101281009
70|281010|3|2810|麻章|101281010
2|2811|2|28|江门|
3|281101|3|2811|江门|101281101
4|281102|3|2811|开平|101281103
5|281103|3|2811|新会|101281104
6|281104|3|2811|恩平|101281105
7|281105|3|2811|台山|101281106
8|281106|3|2811|蓬江|101281107
9|281107|3|2811|鹤山|101281108
10|281108|3|2811|江海|101281109
11|2812|2|28|河源|
12|281201|3|2812|河源|101281201
13|281202|3|2812|紫金|101281202
14|281203|3|2812|连平|101281203
15|281204|3|2812|和平|101281204
16|281205|3|2812|龙川|101281205
17|281206|3|2812|东源|101281206
18|2813|2|28|清远|
19|281301|3|2813|清远|101281301
20|281302|3|2813|连南|101281302
21|281303|3|2813|连州|101281303
22|281304|3|2813|连山|101281304
23|281305|3|2813|阳山|101281305
24|281306|3|2813|佛冈|101281306
25|281307|3|2813|英德|101281307
26|281308|3|2813|清新|101281308
27|2814|2|28|云浮|
28|281401|3|2814|云浮|101281401
29|281402|3|2814|罗定|101281402
30|281403|3|2814|新兴|101281403
31|281404|3|2814|郁南|101281404
32|281405|3|2814|云安|101281406
33|2815|2|28|潮州|
34|281501|3|2815|潮州|101281501
35|281502|3|2815|饶平|101281502
36|281503|3|2815|潮安|101281503
37|2816|2|28|东莞|
38|281601|3|2816|东莞|101281601
39|2817|2|28|中山|
40|281701|3|2817|中山|101281701
41|2818|2|28|阳江|
42|281801|3|2818|阳江|101281801
43|281802|3|2818|阳春|101281802
44|281803|3|2818|阳东|101281803
45|281804|3|2818|阳西|101281804
46|2819|2|28|揭阳|
47|281901|3|2819|揭阳|101281901
48|281902|3|2819|揭西|101281902
49|281903|3|2819|普宁|101281903
50|281904|3|2819|惠来|101281904
51|281905|3|2819|揭东|101281905
52|2820|2|28|茂名|
53|282001|3|2820|茂名|101282001
54|282002|3|2820|高州|101282002
55|282003|3|2820|化州|101282003
56|282004|3|2820|电白|101282004
57|282005|3|2820|信宜|101282005
58|282006|3|2820|茂港|101282006
59|2821|2|28|汕尾|
60|282101|3|2821|汕尾|101282101
61|282102|3|2821|海丰|101282102
62|282103|3|2821|陆丰|101282103
63|282104|3|2821|陆河|101282104
1|29|1|0|云南|
2|2901|2|29|昆明|
3|290101|3|2901|昆明|101290101
4|290102|3|2901|东川|101290103
5|290103|3|2901|寻甸|101290104
6|290104|3|2901|晋宁|101290105
7|290105|3|2901|宜良|101290106
8|290106|3|2901|石林|101290107
9|290107|3|2901|呈贡|101290108
10|290108|3|2901|富民|101290109
11|290109|3|2901|嵩明|101290110
12|290110|3|2901|禄劝|101290111
13|290111|3|2901|安宁|101290112
14|290112|3|2901|太华山|101290113
15|2902|2|29|大理|
16|290201|3|2902|大理|101290201
17|290202|3|2902|云龙|101290202
18|290203|3|2902|漾濞|101290203
19|290204|3|2902|永平|101290204
20|290205|3|2902|宾川|101290205
21|290206|3|2902|弥渡|101290206
22|290207|3|2902|祥云|101290207
23|290208|3|2902|巍山|101290208
24|290209|3|2902|剑川|101290209
25|290210|3|2902|洱源|101290210
26|290211|3|2902|鹤庆|101290211
27|290212|3|2902|南涧|101290212
28|2903|2|29|红河|
29|290301|3|2903|红河|101290301
30|290302|3|2903|石屏|101290302
31|290303|3|2903|建水|101290303
32|290304|3|2903|弥勒|101290304
33|290305|3|2903|元阳|101290305
34|290306|3|2903|绿春|101290306
35|290307|3|2903|开远|101290307
36|290308|3|2903|个旧|101290308
37|290309|3|2903|蒙自|101290309
38|290310|3|2903|屏边|101290310
39|290311|3|2903|泸西|101290311
40|290312|3|2903|金平|101290312
41|290313|3|2903|河口|101290313
42|2904|2|29|曲靖|
43|290401|3|2904|曲靖|101290401
44|290402|3|2904|沾益|101290402
45|290403|3|2904|陆良|101290403
46|290404|3|2904|富源|101290404
47|290405|3|2904|马龙|101290405
48|290406|3|2904|师宗|101290406
49|290407|3|2904|罗平|101290407
50|290408|3|2904|会泽|101290408
51|290409|3|2904|宣威|101290409
52|2905|2|29|保山|
53|290501|3|2905|保山|101290501
54|290502|3|2905|龙陵|101290503
55|290503|3|2905|施甸|101290504
56|290504|3|2905|昌宁|101290505
57|290505|3|2905|腾冲|101290506
58|2906|2|29|文山|
59|290601|3|2906|文山|101290601
60|290602|3|2906|西畴|101290602
61|290603|3|2906|马关|101290603
62|290604|3|2906|麻栗坡|101290604
63|290605|3|2906|砚山|101290605
64|290606|3|2906|丘北|101290606
65|290607|3|2906|广南|101290607
66|290608|3|2906|富宁|101290608
67|2907|2|29|玉溪|
68|290701|3|2907|玉溪|101290701
69|290702|3|2907|澄江|101290702
70|290703|3|2907|江川|101290703
71|290704|3|2907|通海|101290704
72|290705|3|2907|华宁|101290705
73|290706|3|2907|新平|101290706
74|290707|3|2907|易门|101290707
75|290708|3|2907|峨山|101290708
76|290709|3|2907|元江|101290709
77|2908|2|29|楚雄|
78|290801|3|2908|楚雄|101290801
79|290802|3|2908|大姚|101290802
80|290803|3|2908|元谋|101290803
81|290804|3|2908|姚安|101290804
82|290805|3|2908|牟定|101290805
83|290806|3|2908|南华|101290806
84|290807|3|2908|武定|101290807
85|290808|3|2908|禄丰|101290808
86|290809|3|2908|双柏|101290809
87|290810|3|2908|永仁|101290810
88|2909|2|29|普洱|
89|290901|3|2909|普洱|101290901
90|290902|3|2909|景谷|101290902
91|290903|3|2909|景东|101290903
92|290904|3|2909|澜沧|101290904
93|290905|3|2909|墨江|101290906
94|290906|3|2909|江城|101290907
95|290907|3|2909|孟连|101290908
96|290908|3|2909|西盟|101290909
97|290909|3|2909|镇沅|101290911
98|290910|3|2909|宁洱|101290912
99|2910|2|29|昭通|
100|291001|3|2910|昭通|101291001
101|291002|3|2910|鲁甸|101291002
102|291003|3|2910|彝良|101291003
103|291004|3|2910|镇雄|101291004
104|291005|3|2910|威信|101291005
105|291006|3|2910|巧家|101291006
106|291007|3|2910|绥江|101291007
107|291008|3|2910|永善|101291008
108|291009|3|2910|盐津|101291009
109|291010|3|2910|大关|101291010
110|291011|3|2910|水富|101291011
111|2911|2|29|临沧|
112|291101|3|2911|临沧|101291101
113|291102|3|2911|沧源|101291102
114|291103|3|2911|耿马|101291103
115|291104|3|2911|双江|101291104
116|291105|3|2911|凤庆|101291105
117|291106|3|2911|永德|101291106
118|291107|3|2911|云县|101291107
119|291108|3|2911|镇康|101291108
120|2912|2|29|怒江|
121|291201|3|2912|怒江|101291201
122|291202|3|2912|福贡|101291203
123|291203|3|2912|兰坪|101291204
124|291204|3|2912|泸水|101291205
125|291205|3|2912|六库|101291206
126|291206|3|2912|贡山|101291207
127|2913|2|29|迪庆|
128|291301|3|2913|香格里拉|101291301
129|291302|3|2913|德钦|101291302
130|291303|3|2913|维西|101291303
131|291304|3|2913|中甸|101291304
132|2914|2|29|丽江|
133|291401|3|2914|丽江|101291401
134|291402|3|2914|永胜|101291402
135|291403|3|2914|华坪|101291403
136|291404|3|2914|宁蒗|101291404
137|2915|2|29|德宏|
138|291501|3|2915|德宏|101291501
139|291502|3|2915|陇川|101291503
140|291503|3|2915|盈江|101291504
141|291504|3|2915|瑞丽|101291506
142|291505|3|2915|梁河|101291507
143|291506|3|2915|潞西|101291508
144|2916|2|29|西双版纳|
145|291601|3|2916|景洪|101291601
146|291602|3|2916|勐海|101291603
147|291603|3|2916|勐腊|101291605
148|30|1|0|广西|
149|3001|2|30|南宁|
150|300101|3|3001|南宁|101300101
151|300102|3|3001|邕宁|101300103
152|300103|3|3001|横县|101300104
153|300104|3|3001|隆安|101300105
154|300105|3|3001|马山|101300106
155|300106|3|3001|上林|101300107
156|300107|3|3001|武鸣|101300108
157|300108|3|3001|宾阳|101300109
158|3002|2|30|崇左|
159|300201|3|3002|崇左|101300201
160|300202|3|3002|天等|101300202
161|300203|3|3002|龙州|101300203
162|300204|3|3002|凭祥|101300204
163|300205|3|3002|大新|101300205
164|300206|3|3002|扶绥|101300206
165|300207|3|3002|宁明|101300207
166|3003|2|30|柳州|
167|300301|3|3003|柳州|101300301
168|300302|3|3003|柳城|101300302
169|300303|3|3003|鹿寨|101300304
170|300304|3|3003|柳江|101300305
171|300305|3|3003|融安|101300306
172|300306|3|3003|融水|101300307
173|300307|3|3003|三江|101300308
174|3004|2|30|来宾|
175|300401|3|3004|来宾|101300401
176|300402|3|3004|忻城|101300402
177|300403|3|3004|金秀|101300403
178|300404|3|3004|象州|101300404
179|300405|3|3004|武宣|101300405
180|300406|3|3004|合山|101300406
181|3005|2|30|桂林|
182|300501|3|3005|桂林|101300501
183|300502|3|3005|龙胜|101300503
184|300503|3|3005|永福|101300504
185|300504|3|3005|临桂|101300505
186|300505|3|3005|兴安|101300506
187|300506|3|3005|灵川|101300507
188|300507|3|3005|全州|101300508
189|300508|3|3005|灌阳|101300509
190|300509|3|3005|阳朔|101300510
191|300510|3|3005|恭城|101300511
192|300511|3|3005|平乐|101300512
193|300512|3|3005|荔浦|101300513
194|300513|3|3005|资源|101300514
195|3006|2|30|梧州|
196|300601|3|3006|梧州|101300601
197|300602|3|3006|藤县|101300602
198|300603|3|3006|苍梧|101300604
199|300604|3|3006|蒙山|101300605
200|300605|3|3006|岑溪|101300606
201|3007|2|30|贺州|
202|300701|3|3007|贺州|101300701
203|300702|3|3007|昭平|101300702
204|300703|3|3007|富川|101300703
205|300704|3|3007|钟山|101300704
206|3008|2|30|贵港|
207|300801|3|3008|贵港|101300801
208|300802|3|3008|桂平|101300802
209|300803|3|3008|平南|101300803
210|3009|2|30|玉林|
211|300901|3|3009|玉林|101300901
212|300902|3|3009|博白|101300902
213|300903|3|3009|北流|101300903
214|300904|3|3009|容县|101300904
215|300905|3|3009|陆川|101300905
216|300906|3|3009|兴业|101300906
217|3010|2|30|百色|
218|301001|3|3010|百色|101301001
219|301002|3|3010|那坡|101301002
220|301003|3|3010|田阳|101301003
221|301004|3|3010|德保|101301004
222|301005|3|3010|靖西|101301005
223|301006|3|3010|田东|101301006
224|301007|3|3010|平果|101301007
225|301008|3|3010|隆林|101301008
226|301009|3|3010|西林|101301009
227|301010|3|3010|乐业|101301010
228|301011|3|3010|凌云|101301011
229|301012|3|3010|田林|101301012
230|3011|2|30|钦州|
231|301101|3|3011|钦州|101301101
232|301102|3|3011|浦北|101301102
233|301103|3|3011|灵山|101301103
234|3012|2|30|河池|
235|301201|3|3012|河池|101301201
236|301202|3|3012|天峨|101301202
